"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PAYTM","EQ","20-Jan-2022","        997.35","       1013.00","       1036.10","        990.00","        992.80","        995.35","       1006.50","    4846568","          4878047598.60","     213855","    1196092","         24.68"
"PAYTM","EQ","21-Jan-2022","        995.35","        995.05","        999.30","        952.30","        960.00","        960.30","        976.04","    4328259","          4224572341.55","     202012","    1301411","         30.07"
"PAYTM","EQ","24-Jan-2022","        960.30","        960.30","        960.30","        881.05","        916.00","        917.45","        911.81","    7942445","          7242025661.85","     361650","     949807","         16.82"
"PAYTM","EQ","25-Jan-2022","        917.45","        900.00","        938.00","        875.00","        914.95","        914.80","        912.65","    6091452","          5559381635.35","     256665","     869702","         14.28"
"PAYTM","EQ","27-Jan-2022","        914.80","        904.00","        913.00","        881.00","        891.00","        893.70","        899.95","    2459507","          2213421882.30","     113669","     536113","         21.80"
"PAYTM","EQ","28-Jan-2022","        893.70","        900.40","        923.90","        900.00","        902.70","        903.05","        912.27","    2209828","          2015964279.05","      95893","     455549","         20.61"
"PAYTM","EQ","31-Jan-2022","        903.05","        920.00","        932.00","        911.00","        919.40","        916.85","        919.00","    1609589","          1479219613.30","      63436","     293299","         18.22"
"PAYTM","EQ","01-Feb-2022","        916.85","        925.00","        977.00","        921.20","        970.50","        965.60","        958.78","    5469324","          5243893515.75","     193380","     836885","         15.30"
"PAYTM","EQ","02-Feb-2022","        965.60","        975.00","        994.00","        950.10","        955.65","        957.10","        969.57","    2672904","          2591573298.45","      98524","     628009","         23.50"
"PAYTM","EQ","03-Feb-2022","        957.10","        959.00","        959.00","        940.05","        944.00","        944.50","        946.99","    1410694","          1335915277.35","      52757","     298235","         21.14"
"PAYTM","EQ","04-Feb-2022","        944.50","        950.35","        961.90","        946.05","        952.90","        953.30","        953.12","    1272194","          1212556096.20","      51700","     289287","         22.74"
"PAYTM","EQ","07-Feb-2022","        953.30","        941.00","        984.50","        881.30","        955.00","        957.55","        957.35","    3854849","          3690445261.90","     137945","     733983","         19.04"
"PAYTM","EQ","08-Feb-2022","        957.55","        965.75","        976.75","        931.75","        937.90","        937.95","        946.70","    1760398","          1666569585.10","      66446","     397657","         22.59"
"PAYTM","EQ","09-Feb-2022","        937.95","        948.75","        955.00","        936.20","        940.00","        941.50","        943.49","     833193","           786113033.70","      32767","     176419","         21.17"
"PAYTM","EQ","10-Feb-2022","        941.50","        958.75","        958.75","        935.75","        938.75","        938.35","        941.92","    1036415","           976215875.50","      37602","     237241","         22.89"
"PAYTM","EQ","11-Feb-2022","        938.35","        933.00","        934.45","        903.00","        906.00","        906.50","        917.91","    1272179","          1167744920.60","      55399","     408008","         32.07"
"PAYTM","EQ","14-Feb-2022","        906.50","        895.95","        895.95","        860.00","        862.40","        863.50","        875.06","    1866242","          1633080426.45","      88543","     645207","         34.57"
"PAYTM","EQ","15-Feb-2022","        863.50","        874.00","        884.45","        840.00","        851.25","        851.50","        851.68","    2446406","          2083543098.75","      89715","     757831","         30.98"
"PAYTM","EQ","16-Feb-2022","        851.50","        865.00","        883.30","        856.00","        857.50","        861.35","        869.98","    2793265","          2430079602.85","      95876","     732640","         26.23"
"PAYTM","EQ","17-Feb-2022","        861.35","        865.00","        869.80","        845.25","        848.00","        849.95","        857.03","    1362229","          1167466627.50","      48285","     326612","         23.98"
"PAYTM","EQ","18-Feb-2022","        849.95","        844.80","        848.00","        831.00","        833.85","        833.40","        837.83","    1325802","          1110799385.25","      55283","     360968","         27.23"
"PAYTM","EQ","21-Feb-2022","        833.40","        832.50","        834.00","        805.00","        809.00","        807.70","        818.50","    1975577","          1617007520.45","      80195","     490763","         24.84"
"PAYTM","EQ","22-Feb-2022","        807.70","        800.00","        834.65","        785.00","        817.90","        815.90","        809.94","    3701578","          2998055790.45","     145742","     534328","         14.44"
"PAYTM","EQ","23-Feb-2022","        815.90","        823.00","        837.05","        815.25","        823.00","        821.95","        828.79","    1575013","          1305354572.45","      55402","     248328","         15.77"
"PAYTM","EQ","24-Feb-2022","        821.95","        790.00","        802.85","        771.15","        774.80","        777.75","        788.55","    1917591","          1512115082.00","      84388","     513592","         26.78"
"PAYTM","EQ","25-Feb-2022","        777.75","        801.10","        806.70","        785.80","        790.00","        789.35","        795.63","    1460303","          1161862163.80","      52421","     352164","         24.12"
"PAYTM","EQ","28-Feb-2022","        789.35","        785.80","        806.90","        772.40","        795.40","        798.10","        787.15","    1334742","          1050648511.20","      49593","     295451","         22.14"
"PAYTM","EQ","02-Mar-2022","        798.10","        789.00","        806.65","        783.55","        795.70","        797.20","        796.25","    1697859","          1351912812.80","      54233","     382764","         22.54"
"PAYTM","EQ","03-Mar-2022","        797.20","        805.45","        817.45","        791.75","        793.00","        796.30","        806.27","    1254749","          1011668717.05","      45615","     300367","         23.94"
"PAYTM","EQ","04-Mar-2022","        796.30","        787.00","        798.55","        782.25","        784.90","        784.85","        788.22","    1020058","           804027521.60","      38161","     254809","         24.98"
"PAYTM","EQ","07-Mar-2022","        784.85","        774.85","        778.00","        751.00","        752.25","        753.45","        760.60","    1157890","           880687527.20","      56532","     425333","         36.73"
"PAYTM","EQ","08-Mar-2022","        753.45","        753.00","        764.95","        728.05","        739.20","        737.75","        741.88","    1808389","          1341603297.85","      69181","     549988","         30.41"
"PAYTM","EQ","09-Mar-2022","        737.75","        750.00","        759.80","        742.10","        749.90","        749.85","        752.66","    1399649","          1053466709.35","      45131","     488621","         34.91"
"PAYTM","EQ","10-Mar-2022","        749.85","        766.50","        795.80","        761.00","        774.00","        775.60","        777.46","    2236562","          1738832022.15","      73366","     606377","         27.11"
"PAYTM","EQ","11-Mar-2022","        775.60","        771.00","        781.00","        766.60","        776.15","        775.05","        774.48","     919363","           712025528.80","      26075","     289660","         31.51"
"PAYTM","EQ","14-Mar-2022","        775.05","        675.00","        719.00","        661.50","        680.40","        674.80","        686.91","   15156116","         10410861097.50","     475776","    2866547","         18.91"
"PAYTM","EQ","15-Mar-2022","        674.80","        695.05","        703.35","        584.55","        589.00","        592.45","        622.23","   23922506","         14885362328.35","     657199","    5767188","         24.11"
"PAYTM","EQ","16-Mar-2022","        592.45","        597.00","        648.65","        572.00","        634.80","        634.05","        620.71","   33733481","         20938834215.25","     818400","    3020762","          8.95"
"PAYTM","EQ","17-Mar-2022","        634.05","        633.00","        637.00","        590.00","        594.25","        597.05","        613.85","   16758410","         10287074172.65","     337071","    2668858","         15.93"
"PAYTM","EQ","21-Mar-2022","        597.05","        595.00","        595.00","        560.10","        565.05","        565.70","        577.62","   12853207","          7424278150.55","     283260","    2153617","         16.76"
"PAYTM","EQ","22-Mar-2022","        565.70","        565.75","        590.45","        540.35","        543.50","        544.00","        557.59","   26111441","         14559438537.40","     477399","    2587524","          9.91"
"PAYTM","EQ","23-Mar-2022","        544.00","        552.00","        562.00","        521.00","        522.00","        524.30","        540.59","    8888824","          4805178651.80","     229037","    2416124","         27.18"
"PAYTM","EQ","24-Mar-2022","        524.30","        522.00","        595.00","        521.10","        571.40","        574.35","        570.25","   24014616","         13694371785.45","     535201","    4524624","         18.84"
"PAYTM","EQ","25-Mar-2022","        574.35","        577.60","        588.00","        541.15","        545.00","        546.00","        563.56","    8790875","          4954185177.30","     234717","    2350479","         26.74"
"PAYTM","EQ","28-Mar-2022","        546.00","        552.00","        554.00","        532.80","        533.20","        535.55","        541.90","    3748018","          2031044132.50","     126838","    1130538","         30.16"
"PAYTM","EQ","29-Mar-2022","        535.55","        540.00","        546.90","        523.50","        524.50","        524.80","        532.40","    4147495","          2208131936.60","     102074","    1471632","         35.48"
"PAYTM","EQ","30-Mar-2022","        524.80","        530.00","        549.05","        529.05","        538.90","        541.30","        538.74","    5146752","          2772768405.85","     130528","    1547056","         30.06"
"PAYTM","EQ","31-Mar-2022","        541.30","        546.70","        548.85","        525.50","        526.70","        528.45","        537.95","    4345898","          2337856420.70","     108570","    1160427","         26.70"
"PAYTM","EQ","01-Apr-2022","        528.45","        532.00","        582.45","        530.00","        570.00","        571.30","        567.89","   15351166","          8717756774.90","     282199","    2359898","         15.37"
"PAYTM","EQ","04-Apr-2022","        571.30","        579.00","        619.90","        572.40","        609.50","        610.55","        600.64","   15909548","          9555836170.80","     335920","    2511287","         15.78"
"PAYTM","EQ","05-Apr-2022","        610.55","        613.75","        629.25","        603.10","        604.80","        609.05","        617.49","    8883858","          5485666827.40","     200693","    1518557","         17.09"
"PAYTM","EQ","06-Apr-2022","        609.05","        602.95","        648.90","        595.10","        640.00","        637.20","        632.05","   17324330","         10949785013.15","     352288","    2159572","         12.47"
"PAYTM","EQ","07-Apr-2022","        637.20","        648.00","        657.40","        615.60","        622.00","        624.15","        639.78","    7970783","          5099569659.75","     187399","    1738541","         21.81"
"PAYTM","EQ","08-Apr-2022","        624.15","        627.00","        634.40","        613.60","        617.40","        616.95","        622.31","    4395328","          2735262606.10","     101064","     865949","         19.70"
